max_epochs,best_epoch,best_val_f1,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,elapsed_seconds
20,19,0.7894367842953961,0.8538700235480534,0.905149819366721,0.706786879805299,0.7937632003975649,0.8773537008949351,26021,1339,5301,12778,2.1071234999981243
50,45,0.8082997832146175,0.8671185545456546,0.9182936149517127,0.7310691963051054,0.8140551860064055,0.8882637239209074,26184,1176,4862,13217,5.170547457993962
80,78,0.8153078202995009,0.8725103985563063,0.9250622751176307,0.7394767409701865,0.8219237035443115,0.8942603717149133,26277,1083,4710,13369,8.259506332993624
100,100,0.8193970965641398,0.8741169479962148,0.9184101834924504,0.7502627357707837,0.825864588407209,0.8953119253413141,26155,1205,4515,13564,10.262976500001969
150,106,0.8266666666666667,0.8789,0.9189,0.7629,0.8337,0.8952,26143,1217,4286,13793,15.170587540997076
