epoch,train_loss,val_f1
1,0.6884025484323502,0.0
2,0.6304728786150614,0.4176365034606511
3,0.544860366317961,0.712934892449834
4,0.4905269228749805,0.7298388647463754
5,0.46581462273995083,0.7202475469239852
6,0.4521946269604895,0.757410536015973
7,0.44131145709090763,0.7561485926335321
8,0.4297635778784752,0.7589168555409758
9,0.4219294405645794,0.7619198730662435
10,0.41129230376746917,0.7694015941626681
11,0.4065260936816533,0.7757145673171694
12,0.4188597649335861,0.7759136735979836
13,0.3951433499654134,0.7698844458563316
14,0.4054177800814311,0.7701414269823613
15,0.3955911563502418,0.7701439858821642
16,0.38969602932532627,0.7692613342869631
17,0.3850894851817025,0.7722122122122123
18,0.3927559827764829,0.7729344957210269
19,0.3873779583308432,0.7894367842953961
20,0.3796530216932297,0.7779371911366173
21,0.3829152087370555,0.7975085112968121
22,0.38415730082326466,0.7944918541505043
23,0.3815552327367995,0.781848133040477
24,0.38364484161138535,0.7751832961428116
25,0.38427115562889314,0.7868852459016393
26,0.38256604141659206,0.7842726284738395
27,0.375453592174583,0.7928585442417108
28,0.37361717720826465,0.7956815114709852
29,0.37568991962406373,0.7949404415473558
30,0.374912834001912,0.7942709338686639
31,0.3750249619285266,0.7972376750431613
32,0.3776544075873163,0.7979525862068966
33,0.3824807388914956,0.7940293913980149
34,0.38221073730124366,0.7921807526218384
35,0.37363071574105156,0.7768891011101826
36,0.37514914406670463,0.7887235215371289
37,0.3745901427335209,0.78755127800568
38,0.37048834645085865,0.7839537919848083
39,0.37692972520987195,0.7769377685818877
40,0.3719300801555316,0.7858751036852708
41,0.37347492078940075,0.7908183318921469
42,0.3737940548194779,0.7898901618046533
43,0.37152405828237534,0.7907708030344719
44,0.3736890306075414,0.79295327029466
45,0.369582658012708,0.8082997832146175
46,0.3681262714995278,0.7972711062873091
47,0.3712846570544773,0.7942778757593573
48,0.3651633138457934,0.7865248507374165
49,0.380907267332077,0.7922898755545087
50,0.36505474067396587,0.7871212720512618
51,0.36756232298082775,0.7979786200194363
52,0.369822899500529,0.8032531714530313
53,0.37403155035442776,0.7835403357009643
54,0.36526433295673794,0.8109152752009895
55,0.3663117430276341,0.7942443768035735
56,0.37299742963578963,0.8108985507246377
57,0.36986226091782254,0.8050798089246184
58,0.3629037075572544,0.7891226677252878
59,0.36059582233428955,0.798731798966651
60,0.3603645894262526,0.8071225846584503
61,0.3671487768491109,0.8020708573194761
62,0.3628431202636825,0.7905472047974119
63,0.3601137275497119,0.790210622347388
64,0.3638690519664023,0.7742376699654034
65,0.3591594530476464,0.8150812064965197
66,0.37011536873049206,0.7898432850624876
67,0.35947059591611225,0.8000314477770353
68,0.3644658691353268,0.8087879497385468
69,0.3558978769514296,0.8096853433150076
70,0.35981836749447715,0.7847324594605363
71,0.3620806940727764,0.7725771368726335
72,0.3618121354116334,0.8093424529768382
73,0.36004098421997494,0.791377739033958
74,0.35507769882678986,0.8068013415490212
75,0.35955798046456444,0.7650482275853648
76,0.3622903658284081,0.7958441968870981
